filepath,filename,file_size_mb,nrows,ncols,nlayers,resolution_x,resolution_y,crs_epsg,extent_xmin,extent_xmax,extent_ymin,extent_ymax,datatype,success,error,data_type,wri_domain,wri_layer_type,cog_filename,passes_assumptions,assumption_error
data/infrastructure/infrastructure_resilience.tif,infrastructure_resilience.tif,400,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,infrastructure,resilience,infrastructure_resilience.tif,TRUE,NA
data/infrastructure/infrastructure_resistance.tif,infrastructure_resistance.tif,417,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,infrastructure,resistance,infrastructure_resistance.tif,TRUE,NA
data/infrastructure/infrastructure_status.tif,infrastructure_status.tif,129,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,infrastructure,status,infrastructure_status.tif,TRUE,NA
data/livelihoods/indicators/livelihoods_recovery_diversity_of_jobs.tif,livelihoods_recovery_diversity_of_jobs.tif,156,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,livelihoods,recovery,livelihoods_recovery_diversity_of_jobs.tif,TRUE,NA
data/livelihoods/indicators/livelihoods_resistance_job_vulnerability.tif,livelihoods_resistance_job_vulnerability.tif,155,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,livelihoods,resistance,livelihoods_resistance_job_vulnerability.tif,TRUE,NA
data/livelihoods/indicators/livelihoods_status_housing_burden.tif,livelihoods_status_housing_burden.tif,184,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,livelihoods,status,livelihoods_status_housing_burden.tif,TRUE,NA
data/livelihoods/indicators/livelihoods_status_median_income.tif,livelihoods_status_median_income.tif,184,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,livelihoods,status,livelihoods_status_median_income.tif,TRUE,NA
data/livelihoods/indicators/livelihoods_status_unemployment.tif,livelihoods_status_unemployment.tif,151,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,livelihoods,status,livelihoods_status_unemployment.tif,TRUE,NA
data/livelihoods/livelihoods_domain_score.tif,livelihoods_domain_score.tif,183.53,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,livelihoods,domain_score,livelihoods_domain_score.tif,TRUE,NA
data/livelihoods/livelihoods_resilience.tif,livelihoods_resilience.tif,155.38,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,livelihoods,resilience,livelihoods_resilience.tif,TRUE,NA
data/livelihoods/livelihoods_resistance.tif,livelihoods_resistance.tif,155.45,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,livelihoods,resistance,livelihoods_resistance.tif,TRUE,NA
data/livelihoods/livelihoods_status.tif,livelihoods_status.tif,183.93,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,livelihoods,status,livelihoods_status.tif,TRUE,NA
data/natural_habitats/natural_habitats_domain_score.tif,natural_habitats_domain_score.tif,2.71K,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,natural_habitats,domain_score,natural_habitats_domain_score.tif,TRUE,NA
data/natural_habitats/natural_habitats_resilience.tif,natural_habitats_resilience.tif,2.79K,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,natural_habitats,resilience,natural_habitats_resilience.tif,TRUE,NA
data/natural_habitats/natural_habitats_resistance.tif,natural_habitats_resistance.tif,2.86K,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,natural_habitats,resistance,natural_habitats_resistance.tif,TRUE,NA
data/natural_habitats/natural_habitats_status.tif,natural_habitats_status.tif,227.73,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,natural_habitats,status,natural_habitats_status.tif,TRUE,NA
data/sense_of_place/iconic_places/indicators/sense_of_place_iconic_places_recovery_degree_of_protection.tif,sense_of_place_iconic_places_recovery_degree_of_protection.tif,100.55,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_places,recovery,sense_of_place_iconic_places_recovery_degree_of_protection.tif,TRUE,NA
data/sense_of_place/iconic_places/indicators/sense_of_place_iconic_places_recovery_national_parks.tif,sense_of_place_iconic_places_recovery_national_parks.tif,121.8,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_places,recovery,sense_of_place_iconic_places_recovery_national_parks.tif,TRUE,NA
data/sense_of_place/iconic_places/indicators/sense_of_place_iconic_places_resistance_egress.tif,sense_of_place_iconic_places_resistance_egress.tif,100,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_places,resistance,sense_of_place_iconic_places_resistance_egress.tif,TRUE,NA
data/sense_of_place/iconic_places/indicators/sense_of_place_iconic_places_resistance_fire_resource_density.tif,sense_of_place_iconic_places_resistance_fire_resource_density.tif,102,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_places,resistance,sense_of_place_iconic_places_resistance_fire_resource_density.tif,TRUE,NA
data/sense_of_place/iconic_places/indicators/sense_of_place_iconic_places_resistance_national_parks.tif,sense_of_place_iconic_places_resistance_national_parks.tif,122,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_places,resistance,sense_of_place_iconic_places_resistance_national_parks.tif,TRUE,NA
data/sense_of_place/iconic_places/indicators/sense_of_place_iconic_places_resistance_structures.tif,sense_of_place_iconic_places_resistance_structures.tif,102,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_places,resistance,sense_of_place_iconic_places_resistance_structures.tif,TRUE,NA
data/sense_of_place/iconic_places/indicators/sense_of_place_iconic_places_resistance_wui.tif,sense_of_place_iconic_places_resistance_wui.tif,102,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_places,resistance,sense_of_place_iconic_places_resistance_wui.tif,TRUE,NA
data/sense_of_place/iconic_places/indicators/sense_of_place_iconic_places_status_presence.tif,sense_of_place_iconic_places_status_presence.tif,123,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_places,status,sense_of_place_iconic_places_status_presence.tif,TRUE,NA
data/sense_of_place/iconic_places/sense_of_place_iconic_places_domain_score.tif,sense_of_place_iconic_places_domain_score.tif,127,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,sense_of_place,domain_score,sense_of_place_iconic_places_domain_score.tif,TRUE,NA
data/sense_of_place/iconic_places/sense_of_place_iconic_places_resilience.tif,sense_of_place_iconic_places_resilience.tif,127,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,sense_of_place,resilience,sense_of_place_iconic_places_resilience.tif,TRUE,NA
data/sense_of_place/iconic_places/sense_of_place_iconic_places_resistance.tif,sense_of_place_iconic_places_resistance.tif,127,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,aggregate,sense_of_place,resistance,sense_of_place_iconic_places_resistance.tif,TRUE,NA
data/sense_of_place/iconic_species/indicators/sense_of_place_iconic_species_area_recovery.tif,sense_of_place_iconic_species_area_recovery.tif,458,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_species,NA,sense_of_place_iconic_species_area_recovery.tif,TRUE,NA
data/sense_of_place/iconic_species/indicators/sense_of_place_iconic_species_status_75_extinction_rescaled.tif,sense_of_place_iconic_species_status_75_extinction_rescaled.tif,365,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_species,status,sense_of_place_iconic_species_status_75_extinction_rescaled.tif,TRUE,NA
data/sense_of_place/iconic_species/indicators/sense_of_place_iconic_species_traits_recovery.tif,sense_of_place_iconic_species_traits_recovery.tif,449,57865,52355,1,90,90,5070,-5216639.669534829,-504689.66953482945,991231.6884919972,6199081.688491997,FLT4S,TRUE,NA,indicator,iconic_species,NA,sense_of_place_iconic_species_traits_recovery.tif,TRUE,NA
